KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
Q_TDH_ALL_TILES,"Set aside tiles 7, 13, 38, and 39."
Q_TDH_PREFACE,"[i]Black, chitinous brambles and thorns have overgrown the forest near the valley, choking out the usual flora you'd expect to find here. This was not quite what you were expecting when asked to investigate."
Q_TDH_INTRO_FLAVOR,"[i]The forest floor collapses beneath your feet, sending you tumbling down a path and landing at the edge of a clearing. Several vicious creatures in the clearing immediately notice you, uttering sharp clicking sounds and brandishing scythe-like limbs. It would seem you are unwelcome here, but the only way is forward."
Q_TDH_INTRO_TILES,"Place the Entrance, 38A, 2 doors, and 2 end caps. Place the heroes on the Entrance."
Q_TDH_INTRO_LOCKED,"[i]A twisted gateway of bone and bloody thorns blocks the way forward. In the center of the gate lies a circular impression. It looks like some kind of locking mechanism.[/i]\n\nPlace 1 locked door."
Q_TDH_PLACE_REAVERS,"Place Volucrix Reavers on 38A as shown."

Q_TDH_CABIN_1_TILES,"Place 7A and 1 end cap."
Q_TDH_CABIN_1_GROUP,"Place the {0} group on 7A."
Q_TDH_CABIN_2_TILES,"Place 13A and 1 end cap."
Q_TDH_CABIN_2_GROUP,"Place the {0} group on 13A."

Q_TDH_KEY_1,"[i]A pedestal has risen out of the black material forming the hideous overgrowth which crawls throughout the structure. Upon the pedestal lies some kind of pulsating half-sphere made from some shining black organic material.[/i]\n\nPlace 1 objective token as shown. This is a piece of the key. As an action, an adjacent hero can retrieve it."
Q_TDH_KEY_2,"[i]An identical pedestal lies ahead, containing an identical mass of odd organic matter. This one seems to quiver with a little more livelihood.[/i]\n\nPlace 1 objective token as shown. This is a piece of the key. As an action, an adjacent hero can retrieve it. If a hero is already carrying the first key piece, only that hero can pick up the second piece."

Q_TDH_KEY_PICKUP_1,"[i]As you begin to reach for it, the mass leaps from the pedestal and immediately adheres to your arm. It's... very warm.[/i]\n\nPlace the token on the hero's Hero sheet."
Q_TDH_KEY_PICKUP_2,"[i]At your approach, as before, the mass springs from its pedestal. At the same time, the mass attached to your arm releases and flings itself at the other one. There's a quick flash of light and a sound like a heavy, wet thud as they collide, and what looks and feels like a stone sphere falls to the ground. Of their original nature, there is no sign.[/i]\n\nPlace the token on the hero's Hero sheet."
Q_TDH_UNLOCK,"Any hero can now open the locked door."
Q_TDH_KEY_DESC_1,"As an action, an adjacent hero can pick up the first key piece."
Q_TDH_KEY_DESC_2,"As an action, the hero carrying  the first key piece can pick up the second key piece."
Q_TDH_KEY_UI_RETRIEVE,"Retrieve"
Q_TDH_LOCKED_DOOR,"[i]A twisted gateway of bone and bloody thorns blocks the way forward. In the center of the gate lies a circular impression marked with a sigil.[/i]"
Q_TDH_UNLOCKED_DOOR,"[i]A twisted gateway of bone and bloody thorns blocks the way forward. In the center of the gate lies a circular impression marked with a sigil, a perfect fit for the inert sphere you carry.[/i]\n\nA hero can open this door with an ""Open Door"" action."
Q_TDH_OPEN_LOCKED,"[i]With a sharp click, the sphere snaps into place. The thorns slowly unravel themselves, leaving a small pathway open."

Q_TDH_MOUNTAIN_TILES,"Place 39A, 2 end caps, and 1 exit."
Q_TDH_MOUNTAIN_FLAVOR,"[i]Much of the valley is in full view now, and it seems the potential concerns of local authorities were a little understated. For miles, the black chitinous thorns carpet the forest, strangling out the local flora. Worse, you see dozens, hundreds of the vicious creatures milling about, some not bearing the scythe-like forelimbs but rather appendages more suited for digging and other work.\n\nYou have no idea what they might be doing here, but with the infestation at this size, there's not much for a small group like yours to do other than report the findings."
Q_TDH_MOUNTAIN_OVERGROWTH,"[i]Another of the twisted barriers lies ahead, though this one looks a bit weaker than the other one.[/i]\n\nThe overgrowth cannot be moved through as normal, but an adjacent hero can attack it as if it were a monster. It has 12 Health and rolls 1 black defense die, applying +1 ≤  to its defense results for each Volucrix Reaver on the map."
Q_TDH_MOUNTAIN_GROUP,"Place the {0} group on 39A."

Q_TDH_MOUNTAIN_OVERGROWTH_TAP,"The overgrowth cannot be moved through as normal, but an adjacent hero can attack it as if it were a monster. It has 12 Health and rolls 1 black defense die, applying +1 ≤  to its defense results for each Volucrix Reaver on the map."
Q_TDH_MOUNTAIN_OVERGROWTH_DEFEAT,"[i]With a final hack, the overgrowth comes apart. Running as fast as you can, the black, thorned terrain gives way to standard forest, and after a while you find yourselves no longer pursued. You'll have quite a report to give as soon as you get back.[/i]\n\nYou win!"
Q_TDH_REAVER_1,"Place 1 Volucrix Reaver on 38A."
Q_TDH_REAVER_2,"Place 1 Volucrix Reaver on 39A."
Q_TDH_OBJECTIVE_1,"Find and retrieve the key."
Q_TDH_OBJECTIVE_2,"Open the twisted gateway."
Q_TDH_OBJECTIVE_3,"Destroy the overgrowth to escape."
Q_TDH_SEARCH_1,"[i]A body lies in the brackish water."
Q_TDH_SEARCH_2,"[i]The thorns have covered up a small mound."
Q_TDH_SEARCH_3,"[i]The strange black growth has half-covered a personal trunk."
Q_TDH_SEARCH_4,"[i]Some of the shack remains intact beneath the black overgrowth."
Q_TDH_SEARCH_5,"[i]Something glitters within the twisted brambles."

//Quest: The Troll's Treasure

UI_SNEAK,"Sneak"
Q_TTT_OBJECTIVE_1,"Search the area to locate the treasure."
Q_TTT_OBJECTIVE_2,"Find the key to the ettin's hoard."
Q_TTT_OBJECTIVE_3,"Open the door."
Q_TTT_SEARCH_1,"[i]Something has fallen out of the harpy's nest."
Q_TTT_SEARCH_2,"[i]Part of the pile of filth that the ettin has turned into a bed has slipped into the water."

Q_TTT_LOCKED_DOOR,"[i]A heavy iron door is set into the wall, featuring a large lock. It could be where the spoils from the caravan raid are being stored.[/i]\n\nHeroes must find the key before they can open the locked door."
Q_TTT_UNLOCKED_DOOR,"[i]With the foul-smelling key in hand, opening the locked door should prove easy enough.[/i]\n\nYou can open this door with an ""Open Door"" action."

Q_TTT_MAP,"[u]The Troll's Treasure[/u]\n\n[i]A caravan was recently raided, and a local lord has sent a request for someone to recover an heirloom of modest value that was stolen in the process. The posting assures that he only cares about the heirloom; in addition to a generous stipend, he mentions that the caravan had several other items of value that are not required in this recovery."
Q_TTT_LOSS,"[i]Abandoning the task, you make your way clear of the fortress and depart. As days pass and you recover from your wounds, you reflect upon your lack of success. Eventually, you arrive at the conclusion that the fetid swamp and anything within it very likely held nothing of value anyway."
Q_TTT_PREFACE,"[i]You track the caravan's looters to a half-sunken old fortress in a nearby marsh. The insects have been devouring you for days, and you pray this payoff will be worthwhile."
Q_TTT_INTRO_FLAVOR,"[i]A screech resounds from overhead, and you look upward to see hideous winged creatures glaring down at you. It would seem that you're trespassing."
Q_TTT_ALL_TILES,"Set aside tiles 8, 29, 30, 43, 44, 46, and 48."
Q_TTT_INTRO_TILES,"Place the Entrance, 8A, 29A, 30A, 44A, and 3 end caps. Place the heroes on the Entrance."
Q_TTT_HARPIES,"Place Harpies as shown, ignoring group limits.\n\nHarpies ignore the walls between 8A and 29A, 30A, and 43A when moving and attacking."
Q_TTT_OPEN_1,"Place the {0} group on 44A."
Q_TTT_HAPRY_REINFORCE,"Place 2 harpies on 44A."

Q_TTT_WEAK_SPOT,"[i]The way is blocked by what appears to be a pile of recently shifted rubble. It shouldn't be too much effort to clear it.[/i]\n\nAs an action, an adjacent hero may test ∂ or ∑ to move the rubble."
Q_TTT_WEAK_PASS,"[i]After shifting a few stones, you manage to shove the rest of them down, cascading a pile of other stones from above, which you manage to avoid being crushed beneath.\n\nUnfortunately, it appears that the activity disturbed the nest of some other local creatures.[/i]\n\nDiscard the objective token and place 1 door and 1 locked door."
Q_TTT_WEAK_FAIL,"[i]In spite of your best efforts, the rubble refuses to shift."
Q_TTT_OPEN_2," Place the {0} group on 44A."

Q_TTT_ETTIN_DOOR,"Place 48B, 1 locked door, and 2 end caps."
Q_TTT_ETTIN_FLAVOR,"[i]The structure gives way to an underground reservoir, filled with murky water. In the middle of the cave is a small mound of mud, featuring a scattering of filth and trinkets. Atop the mound lies not a troll as you were expecting but a sleeping ettin. The sound of two snoring heads fills the chamber.[/i]\n\nPlace 1 master Ettin, tipped on its side, ignoring group limits."
Q_TTT_ETTIN_RULES,"A hero can attack the ettin as normal or an adjacent hero may test μ to search the ettin's nest for the key.\n\nNote: If a hero attacks or searches the ettin, select the ettin first."
Q_TTT_ETTIN_RULES_2,"[i]The ettin continues to sleep, snoring loudly[/i]\n\nAs an action, a hero can attack the ettin or an adjacent hero may sneak forward, testing μ to search for the key."
Q_TTT_ETTIN_SNEAK,"[i]You creep forward, slowly reaching toward something glinting in the filthy pile...[/i]\n\nTest μ."
Q_TTT_ETTIN_ATTACK,"Resolve the attack targeting the ettin."
Q_TTT_ETTIN_WAKE,"[i]With a startled bellow, the ettin lumbers to its feet, scattering the objects beneath it. Both heads swivel back and forth before spotting you and letting out a pair of enraged roars.[/i]\n\nPlace the ettin figure in its space, standing up. Then the Ettin performs an attack that targets the active hero."
Q_TTT_ETTIN_EMPTY,"[i]Nothing else you can immediately see on or around the ettin's bedding looks to be of any value."

Q_TTT_OPEN_3,"Place the {0} group on 48B."
Q_TTT_ETTIN_SEARCH_1,"[i]You pull your hand free of the muck, holding a trinket of some kind.[/i]\n\nDraw a Search card."
Q_TTT_ETTIN_SEARCH_2,"[i]You find a fair number of coins, hoping that their presence in the pile was not originally due to them being swallowed.[/i]\n\nYou find {0} gold!"
Q_TTT_ETTIN_KEY,"[i]A large iron key slides out of the filth. After wiping it clean, you can see that the etchings upon it match some of the symbols on the door.[/i]\n\nThe locked doors can now be opened."
Q_TTT_ETTIN_DROPPED_SEARCH,"[i]The ettin has unintentionally scattered its trove.[/i]"
Q_TTT_ETTIN_TOKENS,"Place search tokens as shown."

Q_TTT_NOBLE,"[i]In a small, dim chamber, you find not heaping stacks of gold and other valuables, but a terrified young man garbed in nobleman's finery, albeit somewhat filthy. In his arms, he clutches a small chest, and immense relief floods over the young man's features when he sees you. ""Oh, thank the Gods. Did my father send you?"" He rises, still clutching the chest, and airs of his noble arrogance begin to show."" Well, don't just stand there. Get me out of here!""[/i]"

Q_TTT_CHOICE,"Heroes must collectively decide to help the noble or take the chest and leave him behind."
Q_TTT_HELP,"Help him."
Q_TTT_STEAL,"Steal the chest."
Q_TTT_HELP_RESULT,"[i]Sighing heavily, you haul the young man forward, bringing him out of the filthy lair and into the afternoon daylight. You hope his father pays you well."
Q_TTT_STEAL_RESULT,"[i]Without a word, you grab the chest he clutches and shove him backward. As he begins to protest, you slam the doors shut and lock them before tossing the key back into the ettin's filthy nest. You can hear muffled shouting and the sounds of soft pounding on the other side of the door as you depart."

Q_TTT_HOARD,"[i]With a heavy effort, the large key grinds in the lock. Kicking some filth and debris out of the way, you manage to open the doors.[/i]\n\nPlace 46B."

//Quest: The Worst Exotic Merriod Inn

//Quest: Smash and Grab
Q_SAG_MAP,"[u]Smash and Grab[/u]\n\n[i]Terrible noise emanates from an abandoned estate in the hills at night. The owner, looking to sell it off, needs the situation to be dealt with."
Q_SAG_LOSE,"[i]A triumphant wail emanates from the house behind you as you flee into the night. Later, you send word to the owner regarding your failure, recommending that he abandon any hope of selling the estate and instead burn the cursed thing to the ground."
Q_SAG_PREFACE,"[i]Supposedly the manor had only been vacant for a few months, but time and nature has rendered the interior in an advanced state of filth and disarray. Crisp afternoon air wafts from the dozens of shattered windows, mingling with the scent of the varied animal droppings throughout the area."
Q_SAG_INTRO_FLAVOR,"[i]Immediately upon arrival, you set about investigating the area, and within a couple of hours discover nothing of interest. The sun begins to sink behind the nearby hills as you conclude a search of the last room, the attic. As soon as the light disappears, a greasy cold settles about the air, and a terrible, hollow scream reverberates throughout the house."
Q_SAG_PLACE_TILES,"Place tiles 8B, 27B, 28A, 70A, 71B, 72B, 73B, 74B, 75B, 76B, and 5 end caps."
Q_SAG_PLACE_HEROES,"Place the heroes on 75B."
Q_SAG_PLACE_PASSAGES,"Place 3 red objective tokens as shown. These are passages. A hero on or adjacent to a passage may spend 1 movement point to remove his figure from the map and place it on or adjacent to any other passage."
Q_SAG_OPEN_1,"Place the {0} group on 73B."
Q_SAG_OPEN_2,"Place the {0} group on 28A."

Q_SAG_PASSAGE_TAP,"A hero on or adjacent to a passage may spend 1 movement point to remove his figure from the map and place it on or adjacent to any other passage."
Q_SAG_MEMORIES,"[i]A chorus of strange noises, shouts, conversations, and even applause emanates throughout the house, as if it were suddenly packed with people.[/i]\n\nPlace 3 objective tokens as shown. These are memories. As an action, an adjacent hero may investigate a memory."
Q_SAG_SCARY_GHOST,"[i]The cloying chill in the attic intensifies as a black mist seeps through the floorboards, slowly coalescing into a nightmarish creature.[/i]\n\nPlace 1 master wraith on 75B. This is the Tortured Soul. The Tortured Soul can suffer ≥ but cannot suffer conditions and cannot be defeated."
